ticket,missing_hours,duration_seconds,status,panel_rows,max_quote_staleness_seconds,exit_quote_staleness_seconds
86192606,[],272.0,INCLUDED,19.0,1.871,0.595
86558318,[],92.0,INCLUDED,7.0,0.658,0.658
86624724,[],91.0,INCLUDED,7.0,1.181,1.181
86716303,[],4.0,INCLUDED,1.0,0.093,0.093
86773790,[],93.0,INCLUDED,7.0,2.942,0.679
86784552,[],147.0,INCLUDED,10.0,2.268,1.026
86894280,[],145.0,INCLUDED,10.0,1.023,0.195
87000308,[],170.0,INCLUDED,12.0,0.635,0.035
87025580,[],218.0,INCLUDED,15.0,2.963,2.963
87031092,['2026-03-06T08:00:00+00:00'],91.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
87193343,['2026-03-09T07:00:00+00:00'],816.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
87220510,[],271.0,INCLUDED,19.0,4.527,0.405
87303856,[],106.0,INCLUDED,8.0,1.858,1.858
87433721,[],84.0,INCLUDED,6.0,1.403,0.652
87436917,[],99.0,INCLUDED,7.0,0.367,0.078
87455839,[],657.0,INCLUDED,44.0,2.766,1.112
87634841,[],1177.0,INCLUDED,79.0,2.949,0.469
87640068,[],19.0,INCLUDED,2.0,0.046,0.023
87715345,[],23.0,INCLUDED,2.0,0.938,0.15
87725200,[],30.0,INCLUDED,2.0,0.585,0.585
87728679,[],94.0,INCLUDED,7.0,2.271,0.09
87728889,[],1017.0,INCLUDED,68.0,3.625,0.49
87764166,[],51.0,INCLUDED,4.0,0.143,0.023
87966615,[],97.0,INCLUDED,7.0,0.691,0.585
88014898,[],98.0,INCLUDED,7.0,1.023,0.549
88015942,[],29.0,INCLUDED,2.0,2.661,2.661
88144292,[],515.0,INCLUDED,35.0,2.569,0.429
88154082,[],102.0,INCLUDED,7.0,1.008,0.96
88163179,[],27.0,INCLUDED,2.0,0.232,0.062
88172039,[],155.0,INCLUDED,11.0,2.958,0.083
88320644,[],72.0,INCLUDED,5.0,0.315,0.055
88335699,[],94.0,INCLUDED,7.0,0.853,0.109
88511817,[],274.0,INCLUDED,19.0,2.52,0.006
88577933,[],33.0,INCLUDED,3.0,0.262,0.03
89517529,[],98.0,INCLUDED,7.0,0.126,0.126
89770716,[],38.0,INCLUDED,3.0,0.112,0.092
89797106,[],48.0,INCLUDED,4.0,0.062,0.022
90052400,[],165.0,INCLUDED,11.0,0.193,0.19
90054432,['2026-03-24T10:00:00+00:00'],15.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
90080406,[],92.0,INCLUDED,7.0,0.225,0.225
90081363,[],100.0,INCLUDED,7.0,0.078,0.011
90188256,[],274.0,INCLUDED,19.0,1.395,0.839
90192607,[],13.0,INCLUDED,1.0,0.369,0.369
90194077,[],395.0,INCLUDED,27.0,1.954,0.011
90297337,[],28.0,INCLUDED,2.0,0.45,0.45
90303019,[],64.0,INCLUDED,5.0,1.071,0.031
90367910,[],298.0,INCLUDED,20.0,1.98,0.479
