scenario,replicate,planted_events,observed_events,test_events,clock_test_bits,clock_test_bits_per_event,clock_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,direction_test_n,direction_mdl_net_bits,clock_family_recovered,clock_mdl_recovered,contrarian_family_recovered,exact_horizon_recovered
continuous_low_noise,62,420,420,99,26.394597438641707,0.2666120953398152,-52.70648268902016,5,contrarian,0.8585858585858586,99,37.79489309262975,True,False,True,True
continuous_low_noise,63,420,420,105,42.79281282021549,0.4075505982877666,-36.04966335446366,5,contrarian,0.8857142857142857,105,48.1655400867579,True,False,True,True
continuous_low_noise,64,420,420,104,47.19787949774536,0.4538257644013977,-31.688037609937112,5,contrarian,0.8846153846153846,104,47.34151927922546,True,False,True,True
continuous_low_noise,65,420,420,105,43.11470951549479,0.41061628109995035,-35.72776665918436,5,contrarian,0.8942307692307693,104,50.349786551383616,True,False,True,True
continuous_low_noise,66,420,420,111,44.04177809692674,0.3967727756479887,-34.537120668164825,5,contrarian,0.918918918918919,111,62.93654872921162,True,False,True,True
continuous_low_noise,67,420,420,102,34.50694097553479,0.3383033428973999,-44.46544709966658,5,contrarian,0.9207920792079208,101,57.662409675115654,True,False,True,True
continuous_low_noise,68,420,420,91,43.848128734091645,0.4818475685065016,-35.590337116393144,5,contrarian,0.9010989010989011,91,45.63927713358231,True,False,True,True
continuous_low_noise,69,420,420,104,22.032814554962055,0.21185398610540437,-56.853102552720415,5,contrarian,0.9134615384615384,104,56.81987711774727,True,False,True,True
continuous_low_noise,70,420,420,107,50.105183379966434,0.46827274186884515,-28.649995665893442,5,contrarian,0.9158878504672897,107,59.433922191348486,True,False,True,True
continuous_low_noise,71,420,420,106,34.88688949816149,0.3291215990392593,-43.91200761630896,5,contrarian,0.9245283018867925,106,62.08199653959129,True,False,True,True
continuous_low_noise,72,420,420,81,39.34887916949808,0.48578863172219855,-40.49996473029719,5,contrarian,0.9382716049382716,81,50.924281262494695,True,False,True,True
continuous_low_noise,73,420,420,112,51.977261502183126,0.4640826919837779,-26.55721063441844,5,contrarian,0.9017857142857143,112,57.10935629248989,True,False,True,True
continuous_low_noise,74,420,420,115,23.761186393261177,0.20661901211531458,-54.63913521501619,5,contrarian,0.9043478260869565,115,59.668122633080706,True,False,True,True
continuous_low_noise,75,420,420,98,45.63064212293884,0.46561879717284527,-33.51306821915003,5,contrarian,0.9183673469387755,98,55.025213946380326,True,False,True,True
