feature,percentile,threshold,direction,precision,recall,lift,TP,FP,FN
macd,70,0.7097246268822346,below,0.0009940322563467149,0.6650831353903442,0.9501168447938384,280,281401,141
distance_ema_20,70,0.0003067913885159624,below,0.0009940322563467149,0.6650831353903442,0.9501168447938384,280,281401,141
distance_ema_50,70,0.0005172897482506963,below,0.0009940322563467149,0.6650831353903442,0.9501168447938384,280,281401,141
stochastic_k_14,40,41.228070175442326,above,0.000994060488580726,0.5700712589060093,0.9501131343584259,240,241194,181
stochastic_d_14,10,13.402404212472131,below,0.0009940604885807056,0.09501187648433489,0.9501084119898157,40,40199,381
distance_ema_100,90,0.0020942009987443746,above,0.0009940110832235534,0.09501187648433489,0.9500966070793737,40,40201,381
distance_ema_50,90,0.00144180926844171,above,0.0009940110832235534,0.09501187648433489,0.9500966070793737,40,40201,381
sma_100,90,4990.7745620000005,below,0.0009915182381356115,0.8527315914469057,0.9474807341212318,359,361712,62
return_3,90,0.0007350430914534021,below,0.000991280049039367,0.8527315914469057,0.9474791636808141,359,361799,62
ema_100,90,4991.334670316328,below,0.000991271837663357,0.8527315914469057,0.9474783788154998,359,361802,62
candle_body,10,-1.8300000000008367,above,0.0009912554153194493,0.8527315914469057,0.9474626819953231,359,361808,62
bollinger_bandwidth_20,70,0.002644551802109548,below,0.0009905313721522188,0.6627078384782359,0.9467259231446169,279,281388,142
distance_ema_9,70,0.00019070292193485347,below,0.0009904821411454766,0.6627078384782359,0.9467235703481461,279,281402,142
rsi_7,50,50.540098867281245,above,0.0009890803540808213,0.4726840855095661,0.9453672674343988,199,200998,222
rsi_14,50,50.47142799874218,above,0.0009890951022396245,0.4726840855095661,0.9453649180578206,199,200995,222
sma_50,90,4990.519416,below,0.0009886334765655178,0.8503562945347973,0.9448415116489723,358,361758,63
sma_20,90,4990.048540000001,below,0.000988559767826519,0.8503562945347973,0.9448415114260174,358,361785,63
bollinger_upper_20,90,4996.257921691088,below,0.000988559767826519,0.8503562945347973,0.9448415114260174,358,361785,63
ema_50,90,4990.958730951765,below,0.0009885106347729297,0.8503562945347973,0.9448391632756237,358,361803,63
return_10,20,-0.0007383188589779044,above,0.0009878445418482604,0.7553444180504624,0.9441790335147694,318,321595,103
distance_ema_9,80,0.00032298061352519734,below,0.0009878199931038951,0.7553444180504624,0.9441790335069199,318,321603,103
sma_200,90,4991.5356955,below,0.000986239609261257,0.8479809976226889,0.9422022906614024,357,361624,64
bollinger_lower_20,90,4982.807002924889,below,0.0009857984276929253,0.8479809976226889,0.9422022893270621,357,361786,64
sma_9,90,4989.899266666666,below,0.0009857712071969554,0.8479809976226889,0.9422020290786306,357,361796,64
ema_9,90,4989.881955496959,below,0.0009857494318825026,0.8479809976226889,0.9421999477357477,357,361804,64
ema_20,90,4990.366407990549,below,0.0009857494318825026,0.8479809976226889,0.9421999477357477,357,361804,64
ema_200,90,4991.21489897952,below,0.0009857494318825026,0.8479809976226889,0.9421999477357477,357,361804,64
return_60,70,0.0012036053539956626,above,0.000985890988624964,0.2826603325408963,0.9421947438735895,119,120584,302
distance_ema_9,50,8.464532827254319e-06,above,0.0009840905363293375,0.4703087885974577,0.9406143406301911,198,201003,223
distance_ema_20,50,1.908095540010613e-05,above,0.0009840905363293375,0.4703087885974577,0.9406143406301911,198,201003,223
atr_ratio,60,0.0005033983246479221,below,0.000981638798341565,0.5629453681696842,0.9382406062952603,237,241196,184
distance_ema_200,80,0.0018792011830583869,above,0.000981598141176166,0.1876484560565614,0.9382320571541861,79,80402,342
return_15,30,-0.0005109171473496321,above,0.0009798700607093372,0.6555819477419107,0.9365454094912739,276,281394,145
return_5,70,0.0003203454877455103,below,0.0009798457098023588,0.6555819477419107,0.9365454094525023,276,281401,145
return_30,70,0.0008183336495077853,below,0.0009799048498189272,0.6555819477419107,0.9365437470034383,276,281384,145
return_15,50,2.1319628359606213e-05,above,0.000979159314687882,0.4679334916853493,0.9358660888850026,197,200996,224
stochastic_k_14,50,52.45605905402987,above,0.000979154447945759,0.4679334916853493,0.9358660888805566,197,200997,224
bollinger_bandwidth_20,60,0.0021977089133768547,below,0.0009775130576691244,0.5605700712575759,0.9342833330931628,236,241193,185
macd_hist,40,-0.09565221784646993,above,0.0009774644737223547,0.5605700712575759,0.934281011246404,236,241205,185
return_3,70,0.00024565257381363713,below,0.0009762920781885665,0.6532066508298023,0.9331534541088818,275,281403,146
distance_ema_20,30,-0.00026486018634123396,above,0.0009762816803405236,0.6532066508298023,0.933150472565377,275,281406,146
return_10,30,-0.00042274132652342367,above,0.0009763059423304921,0.6532066508298023,0.9331504725628439,275,281399,146
distance_ema_9,20,-0.00030261771741588915,above,0.0009753945843856072,0.7458432304020289,0.9323025676766441,314,321607,107
stochastic_d_14,60,62.95826462006736,above,0.0009754279146345192,0.37292161520101447,0.9322996715291926,157,160798,264
return_60,60,0.0005868924476435389,above,0.0009755370113771168,0.37292161520101447,0.932299671240139,157,160780,264
return_60,50,6.257759342243041e-05,above,0.0009742954998483829,0.46555819477324095,0.931113185461967,196,200975,225
rsi_7,40,46.187916885855095,above,0.0009733428320548677,0.5581947743454675,0.9303252760203738,235,241201,186
return_1,60,6.415611892620631e-05,below,0.0009733267064280941,0.5581947743454675,0.9303237346897726,235,241205,186
distance_ema_20,40,-0.00011203262741631041,above,0.000973322675104887,0.5581947743454675,0.9303221934021394,235,241206,186
stochastic_k_14,60,63.40110905730166,above,0.0009692149979807961,0.37054631828890605,0.9263660613988359,156,160799,265
return_3,20,-0.00040903534532861214,above,0.0009691909119713686,0.7410926365778121,0.9263660613482293,312,321606,109
rsi_21,90,62.30178351621335,above,0.0009692330632734985,0.09263657957222651,0.926364910330826,39,40199,382
return_60,40,-0.00044423597292253536,above,0.0009693254075101968,0.5558194774333591,0.9263633754610291,234,241171,187
atr_ratio,90,0.0008980103793287306,above,0.0009692089763661879,0.09263657957222651,0.9263603059994463,39,40200,382
