model,fold,rule_type,rule_or_feature,coefficient,threshold,oos_f1,oos_precision
E2 events + eligibility state,3,L1 logistic feature,boundary_5,0.04199355723784969,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,boundary_15,-0.15861352108614593,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,boundary_30,0.2714068257040608,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,boundary_60,0.007665658440723786,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,hour_sin,-0.1852271864458082,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,hour_cos,-1.3000006031461762,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,dow_sin,0.07213602768710285,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,3,L1 logistic feature,dow_cos,-0.14175665761742173,0.9045308185069504,0.012195121951219513,0.01
E2 events + eligibility state,4,L1 logistic feature,event_cross_prior_high_10,-0.28241961574303037,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_cross_prior_low_10,-0.10844966113973539,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_cross_prior_high_20,0.015375287635552971,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_cross_prior_low_20,-0.021462272402134983,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_cross_session_high,-0.08614429707839752,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_cross_session_low,-0.04122646252026694,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_cross_vwap,0.026878853570859215,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_cross_ema20,0.024030403803607492,0.9200288878015485,0.0,0.0
E2 events + eligibility state,4,L1 logistic feature,event_large_body_expansion,0.0010683015682911364,0.9200288878015485,0.0,0.0
