trade_idx,ticket,side,volume,recorded_pnl,reconstructed_pnl_spread,reconstructed_pnl_zero_spread,residual_spread,residual_zero_spread,abs_residual,cum_recorded_pnl,cum_reconstructed_pnl_spread,cum_reconstructed_pnl_zero_spread
317,82465593,Sell,0.01,1.82,2.48,2.83,-0.66,-1.01,0.66,1001.1,877.7,990.41
318,82462486,Buy,0.01,-2.24,-1.08,-0.73,-1.16,-1.51,1.16,998.86,876.62,989.68
319,82241706,Buy,0.01,4.38,1.74,2.09,2.64,2.29,2.64,1003.24,878.36,991.77
320,82199073,Sell,0.01,3.82,2.94,3.29,0.88,0.53,0.88,1007.06,881.3,995.06
321,82169230,Buy,0.01,4.61,4.46,4.81,0.15,-0.2,0.15,1011.67,885.76,999.87
322,82147110,Sell,0.01,2.51,3.23,3.58,-0.72,-1.07,0.72,1014.18,888.99,1003.45
323,82095097,Buy,0.01,5.09,3.36,3.71,1.73,1.38,1.73,1019.27,892.35,1007.16
324,82061725,Buy,0.01,3.7,4.12,4.47,-0.42,-0.77,0.42,1022.97,896.47,1011.63
325,82028698,Buy,0.01,4.05,2.51,2.86,1.54,1.19,1.54,1027.02,898.98,1014.49
326,81983513,Buy,0.01,5.33,3.89,4.24,1.44,1.09,1.44,1032.35,902.87,1018.73
327,81979298,Sell,0.01,-4.41,-2.73,-2.38,-1.68,-2.03,1.68,1027.94,900.14,1016.35
328,81950224,Buy,0.01,4.94,5.25,5.6,-0.31,-0.66,0.31,1032.88,905.39,1021.95
329,38800885,Buy,0.01,5.21,4.86,5.21,0.35,-0.0,0.35,1038.09,910.25,1027.16
330,38786971,Buy,0.02,8.66,9.75,10.45,-1.09,-1.79,1.09,1046.75,920.0,1037.61
331,38759834,Sell,0.01,6.72,6.77,7.12,-0.05,-0.4,0.05,1053.47,926.77,1044.73
332,38755615,Buy,0.01,-3.47,-2.94,-2.59,-0.53,-0.88,0.53,1050.0,923.83,1042.14
333,38723027,Sell,0.01,4.65,3.54,3.89,1.11,0.76,1.11,1054.65,927.37,1046.03
334,38720385,Buy,0.01,-3.16,-1.97,-1.62,-1.19,-1.54,1.19,1051.49,925.4,1044.41
